id;start_date;end_date;language;file;file_content_type;date;duration
1;2024-09-01T22:19:54;2024-09-02T04:23:00;SPANISH;../fake-data/blob/hipster.png;image/png;2024-09-01T14:35:44;26099
2;2024-09-01T21:29:10;2024-09-01T17:05:06;FRENCH;../fake-data/blob/hipster.png;image/png;2024-09-02T04:01:01;9106
3;2024-09-01T07:30:46;2024-09-01T12:55:17;SPANISH;../fake-data/blob/hipster.png;image/png;2024-09-01T22:40:03;22256
4;2024-09-01T16:41:43;2024-09-01T18:09:25;ENGLISH;../fake-data/blob/hipster.png;image/png;2024-09-01T11:47:21;17236
5;2024-09-02T02:14:02;2024-09-01T06:49:51;SPANISH;../fake-data/blob/hipster.png;image/png;2024-09-01T19:30:16;3921
6;2024-09-01T12:18:26;2024-09-01T07:11:20;FRENCH;../fake-data/blob/hipster.png;image/png;2024-09-02T05:37:34;14176
7;2024-09-01T20:48:49;2024-09-01T18:25:10;SPANISH;../fake-data/blob/hipster.png;image/png;2024-09-02T01:01:24;884
8;2024-09-01T15:04:21;2024-09-01T10:41:00;ENGLISH;../fake-data/blob/hipster.png;image/png;2024-09-02T02:46:57;5671
9;2024-09-01T14:22:10;2024-09-02T04:19:14;SPANISH;../fake-data/blob/hipster.png;image/png;2024-09-02T01:24:19;25036
10;2024-09-01T09:53:45;2024-09-01T22:48:31;ENGLISH;../fake-data/blob/hipster.png;image/png;2024-09-01T19:41:02;16448
