id;street_address;postal_code;city;state_province
1;grandir;conquérir regarder;Strasbourg;badaboum
2;énergique areu areu;lorsque enfoncer par rapport à;Troyes;blême
3;visiter snif;à l'encontre de d'entre comment;Bourges;cracher outre rencontrer
4;biathlète oh intrépide;blablabla promettre;Orléans;à la faveur de explorer
5;au-delà grrr mairie;de sorte que près de infime;Toulon;biathlète inciter tant que
6;à l'égard de comment population du Québec;remédier cadre;Saint-Paul;actionnaire vraiment fade
7;lectorat lentement volontiers;dans la mesure où à bas de tandis que;Chambéry;de peur que bien que
8;demain touchant;gestionnaire lectorat;Ajaccio;remuer touriste
9;mairie;ouille;Les Abymes;diviser proche de
10;rose super;ainsi;Limoges;à condition que
